image,x1,y1,x2,y2,ignore
20260417_080627_RTYMEH_c000_f001440.jpg,339.4,400.8,395.3,467.6,0
20260417_080627_RTYMEH_c000_f001470.jpg,438.8,417.4,464.2,462.7,0
20260417_080627_RTYMEH_c000_f002730.jpg,836.7,694.5,898.4,743.6,0
20260417_080627_RTYMEH_c000_f003150.jpg,841.8,667.2,948.4,767.4,0
20260417_080627_RTYMEH_c000_f003720.jpg,300.1,316.0,345.5,365.0,0
20260417_083705_UNVTXL_c000_f004200.jpg,819.2,535.4,911.9,606.9,0
20260417_083705_UNVTXL_c000_f004380.jpg,825.3,489.8,916.1,554.8,0
20260417_083705_UNVTXL_c000_f005670.jpg,661.4,431.2,724.0,486.3,0
20260417_083705_UNVTXL_c000_f006060.jpg,345.2,438.7,395.5,501.2,0
20260421_093800_DQJASM_c000_f002760.jpg,1256.2,0.0,1303.9,53.1,0
20260421_104726_CDCRPX_c000_f001050.jpg,503.3,11.2,534.0,55.8,0
20260422_023007_VDFPYA_c000_f005220.jpg,115.7,480.4,172.0,549.0,0
20260422_023007_VDFPYA_c000_f006420.jpg,55.2,646.9,142.9,771.2,0
20260422_023007_VDFPYA_c000_f009180.jpg,880.4,623.5,990.1,767.5,0
20260422_023007_VDFPYA_c000_f009180.jpg,2074.9,897.2,2135.9,986.2,0
20260422_023007_VDFPYA_c000_f010740.jpg,2076.1,853.7,2122.2,934.7,0
20260422_090858_TVELVZ_c000_f001560.jpg,2111.3,571.2,2137.1,604.1,0
20260422_090858_TVELVZ_c000_f003330.jpg,2035.6,563.0,2074.0,608.7,0
20260422_090858_TVELVZ_c000_f003630.jpg,1047.6,1324.5,1233.6,1520.9,0
20260422_090858_TVELVZ_c000_f003870.jpg,1975.8,601.5,1999.5,627.5,0
20260422_090858_TVELVZ_c000_f003870.jpg,2000.0,569.7,2041.9,617.4,0
20260422_090858_TVELVZ_c000_f003900.jpg,1692.0,597.3,1724.6,632.4,0
20260422_090858_TVELVZ_c000_f003900.jpg,1736.7,593.3,1771.4,627.0,0
20260422_090858_TVELVZ_c000_f003930.jpg,1681.3,567.1,1719.2,610.2,0
20260422_090858_TVELVZ_c000_f003930.jpg,1727.8,568.6,1761.1,604.1,0
20260422_090858_TVELVZ_c000_f005730.jpg,1897.3,579.8,1958.1,645.2,0
20260422_090858_TVELVZ_c000_f006390.jpg,1962.7,625.1,2018.4,692.0,0
20260422_090858_TVELVZ_c000_f008250.jpg,1737.6,637.1,1783.7,684.2,0
20260422_090858_TVELVZ_c000_f009780.jpg,1651.3,753.6,1686.6,789.7,0
20260422_090858_TVELVZ_c000_f009780.jpg,1693.4,741.2,1723.9,776.6,0
20260422_090858_TVELVZ_c000_f009780.jpg,1947.6,810.7,1974.4,838.5,0
20260422_090858_TVELVZ_c000_f010470.jpg,1968.1,718.3,1993.0,746.9,0
20260422_090858_TVELVZ_c000_f010470.jpg,1998.1,696.6,2027.5,735.4,0
20260422_090858_TVELVZ_c000_f011070.jpg,1719.0,601.0,1748.8,633.8,0
20260422_090858_TVELVZ_c000_f011070.jpg,1751.1,579.8,1788.1,616.0,0
20260422_090858_TVELVZ_c000_f011070.jpg,2013.7,679.4,2040.0,707.1,0
20260422_094411_LKRQMZ_c000_f003240.jpg,1963.4,236.3,1999.5,291.2,0
20260422_110607_TLLUKG_c000_f001290.jpg,1907.3,342.3,1956.2,427.4,0
20260423_003016_CNGWDY_c000_f001320.jpg,1756.2,0.0,2022.6,299.1,0
20260423_003016_CNGWDY_c000_f001440.jpg,1358.9,332.5,1391.7,372.5,0
20260423_003016_CNGWDY_c000_f001500.jpg,1878.0,347.7,2154.8,807.1,0
