ds,session,chunk,view,frame_idx,task_id,image_uri,width,height,src_key,src_frame,n_boxes,n_boxes_machine,machine_src,review_round,labeled_by,labeled_ts,set_uid,subject,boxes_json
faceback-45-left,20260419_091248_TYMVSS,001,lview,0,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000000.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,0,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:34,6e08fae6cd41d3a5,k000000:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,60,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000060.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,60,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:34,6e08fae6cd41d3a5,k000060:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,120,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000120.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,120,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:34,6e08fae6cd41d3a5,k000120:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,180,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000180.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,180,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:34,6e08fae6cd41d3a5,k000180:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,240,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000240.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,240,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:35,6e08fae6cd41d3a5,k000240:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,300,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000300.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,300,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:35,6e08fae6cd41d3a5,k000300:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,360,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000360.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,360,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:35,6e08fae6cd41d3a5,k000360:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,420,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000420.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,420,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:35,6e08fae6cd41d3a5,k000420:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,480,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000480.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,480,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:35,6e08fae6cd41d3a5,k000480:lview,[]
faceback-45-left,20260419_091248_TYMVSS,001,lview,540,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-left/images/20260419_091248_TYMVSS_c001_f000540.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_left/vst_left_video.mp4,540,0,0,faceback45/armw_head@1,0,lianglingfeng-zq,2026-09-04T12:01:35,6e08fae6cd41d3a5,k000540:lview,[]
