ds,session,chunk,view,frame_idx,task_id,image_uri,width,height,src_key,src_frame,n_boxes,n_boxes_machine,machine_src,review_round,labeled_by,labeled_ts,set_uid,subject,boxes_json
faceback-45-right,20260419_091248_TYMVSS,001,rview,0,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000000.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,0,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:07:55,6e08fae6cd41d3a5,k000000:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,60,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000060.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,60,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:07:57,6e08fae6cd41d3a5,k000060:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,120,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000120.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,120,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:07:58,6e08fae6cd41d3a5,k000120:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,180,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000180.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,180,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:07:59,6e08fae6cd41d3a5,k000180:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,240,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000240.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,240,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:08:00,6e08fae6cd41d3a5,k000240:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,300,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000300.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,300,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:08:01,6e08fae6cd41d3a5,k000300:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,360,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000360.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,360,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:08:02,6e08fae6cd41d3a5,k000360:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,420,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000420.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,420,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:08:03,6e08fae6cd41d3a5,k000420:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,480,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000480.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,480,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:08:04,6e08fae6cd41d3a5,k000480:rview,[]
faceback-45-right,20260419_091248_TYMVSS,001,rview,540,TSK_0068_StockShelf-CasualSnack,/api/frame/faceback-45-right/images/20260419_091248_TYMVSS_c001_f000540.jpg,2328,1748,20260419_091248_TYMVSS/chunk_001/vst_right/vst_right_video.mp4,540,0,0,faceback45/armw_head@1,0,yangyi-zq,2026-09-05T17:08:05,6e08fae6cd41d3a5,k000540:rview,[]
