image,x1,y1,x2,y2,ignore
20260414_055719_ZUNSUJ_c000_left_f000689.jpg,537.5,634.7,573.9,663.0,0
20260414_055719_ZUNSUJ_c000_left_f001867.jpg,514.5,543.6,561.3,595.2,0
20260414_055719_ZUNSUJ_c000_right_f006518.jpg,567.1,633.3,619.9,682.9,0
20260414_060914_NVZEQS_c000_left_f005340.jpg,525.7,659.9,576.6,707.6,0
20260414_060914_NVZEQS_c000_right_f000937.jpg,661.6,719.1,702.8,764.4,0
20260414_060914_NVZEQS_c000_right_f003262.jpg,616.7,698.9,664.6,742.7,0
20260414_060914_NVZEQS_c000_right_f006518.jpg,607.8,580.5,653.9,624.6,0
20260414_060914_NVZEQS_c000_right_f006983.jpg,557.6,606.9,608.1,653.4,0
20260415_022931_SNCAQR_c001_left_f000100.jpg,149.7,731.7,199.0,787.5,0
20260415_073827_ERJBXC_c000_right_f004193.jpg,1807.9,454.1,1859.4,497.8,0
20260415_073827_ERJBXC_c000_right_f004193.jpg,2040.0,553.9,2066.3,588.2,0
20260415_083219_UUZSRT_c010_right_f004658.jpg,650.0,1334.9,925.1,1532.5,0
20260418_003331_BGDZXM_c023_right_f000472.jpg,380.6,620.4,404.1,651.7,0
20260420_041234_SAMPCY_c001_left_f000100.jpg,1469.2,219.5,1497.8,252.9,0
20260420_041234_SAMPCY_c001_left_f000689.jpg,1110.9,129.9,1137.5,158.9,0
20260420_041234_SAMPCY_c001_left_f001867.jpg,1182.9,12.1,1210.3,42.0,0
20260420_041234_SAMPCY_c001_right_f000472.jpg,1259.2,103.7,1285.8,132.7,0
20260420_070024_WZSSPP_c000_left_f004410.jpg,395.3,358.3,463.0,434.2,0
20260420_071515_ZGUXVJ_c000_left_f004410.jpg,491.2,491.4,550.8,560.6,0
20260420_071515_ZGUXVJ_c000_right_f006518.jpg,271.2,650.3,333.4,724.0,0
20260420_091418_LMERMK_c000_left_f001619.jpg,576.4,558.7,641.1,632.4,0
20260420_091418_LMERMK_c000_left_f005340.jpg,419.3,245.6,482.6,327.8,0
20260421_070814_ZEALKP_c001_right_f006053.jpg,2165.0,681.7,2187.4,720.7,0
20260421_072148_YQRPBD_c000_right_f006518.jpg,2233.5,650.4,2266.5,693.1,0
20260421_075545_WXTGHN_c002_left_f005588.jpg,757.8,232.8,883.7,361.8,0
20260421_075545_WXTGHN_c002_right_f004193.jpg,809.2,56.5,928.2,171.7,0
20260421_075545_WXTGHN_c002_right_f005123.jpg,922.1,229.9,1041.8,352.7,0
20260421_075545_WXTGHN_c002_right_f006518.jpg,993.6,235.3,1116.3,361.5,0
20260422_042300_BRWERV_c009_left_f005340.jpg,1219.9,671.6,1247.8,692.6,0
20260422_053416_VGXLZD_c000_right_f004193.jpg,349.2,776.6,413.0,849.9,0
20260422_053416_VGXLZD_c000_right_f004193.jpg,579.9,734.2,657.9,828.6,0
20260422_063504_XVKJQA_c013_left_f000224.jpg,705.2,192.6,750.1,252.6,0
20260422_063504_XVKJQA_c013_left_f001619.jpg,772.9,241.6,836.2,299.3,0
20260422_063504_XVKJQA_c013_right_f000472.jpg,663.5,241.9,713.1,304.3,0
20260422_063504_XVKJQA_c013_right_f000937.jpg,501.0,205.9,564.8,274.6,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,899.5,839.4,927.5,860.4,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1013.6,1540.5,1041.5,1561.5,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1085.5,1555.2,1113.5,1576.2,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1135.1,849.4,1163.1,870.3,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1316.7,941.1,1339.5,965.9,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1416.1,945.3,1444.1,971.4,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1490.9,946.7,1517.2,975.6,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1574.2,949.9,1599.8,977.3,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1662.4,952.7,1690.4,973.6,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1714.8,954.1,1737.6,979.6,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1751.1,954.1,1779.1,975.2,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1841.7,963.7,1869.6,984.6,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1886.4,963.0,1914.3,983.9,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1934.8,963.8,1962.7,984.8,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,1964.1,963.0,1992.1,983.9,0
20260422_084548_RHRJJT_c001_right_f006053.jpg,2003.7,967.0,2031.6,988.0,0
20260422_104650_KNLMZG_c001_right_f001402.jpg,629.0,1380.9,714.5,1457.5,0
20260422_104650_KNLMZG_c001_right_f001402.jpg,1985.3,572.8,2017.4,608.7,0
20260422_104650_KNLMZG_c001_right_f001402.jpg,2090.3,255.2,2165.0,376.9,0
20260422_104650_KNLMZG_c001_right_f001402.jpg,2149.0,719.8,2185.8,758.3,0
20260422_104650_KNLMZG_c001_right_f001402.jpg,2165.7,724.2,2200.0,760.7,0
20260422_104650_KNLMZG_c001_right_f004658.jpg,2061.2,472.1,2123.8,552.9,0
20260423_023251_WCXFTN_c004_right_f006518.jpg,1517.4,540.5,1559.3,599.0,0
20260423_032603_JJBZNQ_c006_right_f005123.jpg,1346.0,126.0,1380.7,162.9,0
20260423_032603_JJBZNQ_c006_right_f005123.jpg,2077.3,911.8,2129.9,972.2,0
20260423_060809_LTRXVW_c000_left_f001619.jpg,569.2,295.2,616.5,356.8,0
20260423_060809_LTRXVW_c000_left_f001867.jpg,509.6,326.9,583.6,395.4,0
20260423_060809_LTRXVW_c000_left_f003728.jpg,570.8,273.9,627.9,335.8,0
20260423_060809_LTRXVW_c000_left_f005340.jpg,702.6,238.8,748.7,291.2,0
20260423_060809_LTRXVW_c000_left_f005588.jpg,696.8,239.7,740.1,290.7,0
20260423_060809_LTRXVW_c000_right_f002797.jpg,583.6,245.2,630.9,311.3,0
20260423_060809_LTRXVW_c000_right_f004658.jpg,548.0,243.8,604.8,310.4,0
20260423_070302_QVQREN_c001_right_f002797.jpg,1394.5,1230.2,1431.0,1272.7,0
20260423_070302_QVQREN_c001_right_f002797.jpg,1433.8,1205.6,1478.7,1250.3,0
20260423_073004_WHZSLB_c000_left_f005588.jpg,102.2,551.8,188.8,635.9,0
20260423_093240_MMWMMG_c001_left_f003728.jpg,1947.6,378.3,1996.0,436.0,0
20260423_095647_SJUUVG_c000_left_f003479.jpg,1342.1,591.2,1383.3,625.8,0
20260423_095647_SJUUVG_c000_left_f003479.jpg,1401.5,546.2,1438.7,583.1,0
20260423_095647_SJUUVG_c000_right_f002797.jpg,1670.3,525.4,1702.2,558.7,0
20260423_103354_JHQVPE_c000_left_f003479.jpg,2066.3,860.7,2148.3,936.9,0
20260423_103354_JHQVPE_c000_right_f000472.jpg,2148.3,719.0,2249.1,850.9,0
20260423_104026_EHZRFV_c000_left_f003479.jpg,398.1,351.7,508.0,504.6,0
20260424_015655_AFNEAW_c012_left_f005340.jpg,1023.6,485.4,1049.0,517.8,0
20260424_023834_ZZFYCJ_c006_left_f000689.jpg,1096.3,279.5,1125.4,305.2,0
20260424_023834_ZZFYCJ_c006_left_f004410.jpg,1280.4,178.5,1308.1,205.6,0
