image,session,chunk,eye,frame_idx,t_ms,size,md5,round,local_name,src_oss_key,oss_key
20260414_055719_ZUNSUJ_c000_left_f000689.jpg,20260414_055719_ZUNSUJ,000,left,689,22233,573397,283ba14da80187005c3bad90319226f5,3,20260414_055719_ZUNSUJ_c000_lview_t22233.jpg,faceight_c/images/20260414_055719_ZUNSUJ_c000_f000689.jpg,pii/data/faceight_c/20260414_055719_ZUNSUJ_c000_left_f000689.jpg
20260414_055719_ZUNSUJ_c000_left_f001867.jpg,20260414_055719_ZUNSUJ,000,left,1867,60233,592364,48329943767070e4e29f06bd0b59557c,3,20260414_055719_ZUNSUJ_c000_lview_t60233.jpg,faceight_c/images/20260414_055719_ZUNSUJ_c000_f001867.jpg,pii/data/faceight_c/20260414_055719_ZUNSUJ_c000_left_f001867.jpg
20260414_055719_ZUNSUJ_c000_right_f006518.jpg,20260414_055719_ZUNSUJ,000,right,6518,210233,579967,945e58246ad3287839b2adb51146ff56,3,20260414_055719_ZUNSUJ_c000_rview_t210233.jpg,faceight_c/images/20260414_055719_ZUNSUJ_c000_f006518.jpg,pii/data/faceight_c/20260414_055719_ZUNSUJ_c000_right_f006518.jpg
20260414_060914_NVZEQS_c000_left_f005340.jpg,20260414_060914_NVZEQS,000,left,5340,172233,577113,327ca265720f02475b7310dfa1f55a05,3,20260414_060914_NVZEQS_c000_lview_t172233.jpg,faceight_c/images/20260414_060914_NVZEQS_c000_f005340.jpg,pii/data/faceight_c/20260414_060914_NVZEQS_c000_left_f005340.jpg
20260414_060914_NVZEQS_c000_right_f000937.jpg,20260414_060914_NVZEQS,000,right,937,30233,562142,10602925796453631e59994c0e323bd7,3,20260414_060914_NVZEQS_c000_rview_t30233.jpg,faceight_c/images/20260414_060914_NVZEQS_c000_f000937.jpg,pii/data/faceight_c/20260414_060914_NVZEQS_c000_right_f000937.jpg
20260414_060914_NVZEQS_c000_right_f003262.jpg,20260414_060914_NVZEQS,000,right,3262,105233,574037,91b5a1ed955bbd54c6a77dfefcd87f16,3,20260414_060914_NVZEQS_c000_rview_t105233.jpg,faceight_c/images/20260414_060914_NVZEQS_c000_f003262.jpg,pii/data/faceight_c/20260414_060914_NVZEQS_c000_right_f003262.jpg
20260414_060914_NVZEQS_c000_right_f006518.jpg,20260414_060914_NVZEQS,000,right,6518,210233,565552,671ce1aecbd7280fde8ba1f457923953,3,20260414_060914_NVZEQS_c000_rview_t210233.jpg,faceight_c/images/20260414_060914_NVZEQS_c000_f006518.jpg,pii/data/faceight_c/20260414_060914_NVZEQS_c000_right_f006518.jpg
20260414_060914_NVZEQS_c000_right_f006983.jpg,20260414_060914_NVZEQS,000,right,6983,225233,582103,8b4f52461a0a5519a9b8b56c4c5609e8,3,20260414_060914_NVZEQS_c000_rview_t225233.jpg,faceight_c/images/20260414_060914_NVZEQS_c000_f006983.jpg,pii/data/faceight_c/20260414_060914_NVZEQS_c000_right_f006983.jpg
20260415_022931_SNCAQR_c001_left_f000100.jpg,20260415_022931_SNCAQR,001,left,100,3233,776312,46a7caab2eec279b67d7345afb10a1f2,3,20260415_022931_SNCAQR_c001_lview_t3233.jpg,faceight_c/images/20260415_022931_SNCAQR_c001_f000100.jpg,pii/data/faceight_c/20260415_022931_SNCAQR_c001_left_f000100.jpg
20260415_022931_SNCAQR_c001_left_f000286.jpg,20260415_022931_SNCAQR,001,left,286,9233,774842,ef6d87f71e25eddbe1149a7dc68d5b86,3,20260415_022931_SNCAQR_c001_lview_t9233.jpg,faceight_c/images/20260415_022931_SNCAQR_c001_f000286.jpg,pii/data/faceight_c/20260415_022931_SNCAQR_c001_left_f000286.jpg
20260415_033403_EYFSAT_c001_left_f000286.jpg,20260415_033403_EYFSAT,001,left,286,9233,721491,50439fecf51e980cc57ce1348a96578c,3,20260415_033403_EYFSAT_c001_lview_t9233.jpg,faceight_c/images/20260415_033403_EYFSAT_c001_f000286.jpg,pii/data/faceight_c/20260415_033403_EYFSAT_c001_left_f000286.jpg
20260415_054643_LRRJHV_c000_right_f004193.jpg,20260415_054643_LRRJHV,000,right,4193,135233,584940,8e78762372ba4f085c4211b0b77a3c73,3,20260415_054643_LRRJHV_c000_rview_t135233.jpg,faceight_c/images/20260415_054643_LRRJHV_c000_f004193.jpg,pii/data/faceight_c/20260415_054643_LRRJHV_c000_right_f004193.jpg
20260415_061902_ERLADM_c011_right_f006518.jpg,20260415_061902_ERLADM,011,right,6518,210233,601017,594683ee98537be0dc56531f45205f06,3,20260415_061902_ERLADM_c011_rview_t210233.jpg,faceight_c/images/20260415_061902_ERLADM_c011_f006518.jpg,pii/data/faceight_c/20260415_061902_ERLADM_c011_right_f006518.jpg
20260415_073827_ERJBXC_c000_right_f004193.jpg,20260415_073827_ERJBXC,000,right,4193,135233,703242,69992ef7824a562cd38b0735194b45bb,3,20260415_073827_ERJBXC_c000_rview_t135233.jpg,faceight_c/images/20260415_073827_ERJBXC_c000_f004193.jpg,pii/data/faceight_c/20260415_073827_ERJBXC_c000_right_f004193.jpg
