image,x1,y1,x2,y2,ignore
20260616_053528_BYEJKD_c035_lview_f002100.jpg,336.8,264.7,381.9,336.6,0
20260616_053528_BYEJKD_c035_lview_f002220.jpg,359.2,213.5,433.9,252.8,0
20260616_053611_AANSAG_c013_lview_f000750.jpg,1950.5,526.7,2049.7,724.2,0
20260616_053611_AANSAG_c013_lview_f000780.jpg,2100.2,613.6,2117.1,836.8,1
20260616_053611_AANSAG_c013_lview_f000870.jpg,2050.3,566.0,2108.8,982.3,1
20260616_053611_AANSAG_c013_lview_f000870.jpg,2080.0,688.7,2187.0,874.6,0
20260616_053611_AANSAG_c013_lview_f000900.jpg,2082.8,674.4,2125.2,877.7,1
20260616_053611_AANSAG_c013_lview_f003150.jpg,1898.3,651.8,2005.3,797.4,0
20260616_053611_AANSAG_c013_lview_f003180.jpg,1734.5,566.3,1842.1,720.0,0
20260616_053611_AANSAG_c013_lview_f003210.jpg,2041.1,758.6,2132.5,911.0,0
20260616_053611_AANSAG_c013_lview_f003420.jpg,1821.3,575.7,1930.4,746.6,0
20260616_053611_AANSAG_c013_lview_f003450.jpg,1807.1,651.0,1913.5,801.6,0
20260616_053611_AANSAG_c013_lview_f003510.jpg,2015.6,659.2,2121.1,844.9,0
20260616_053611_AANSAG_c013_rview_f000030.jpg,2095.3,597.0,2192.1,766.2,0
20260616_053611_AANSAG_c013_rview_f000150.jpg,2077.2,468.5,2082.4,679.3,1
20260616_053611_AANSAG_c013_rview_f000150.jpg,2078.3,531.3,2172.6,682.9,0
20260616_053611_AANSAG_c013_rview_f000180.jpg,2083.1,486.9,2087.5,703.2,1
20260616_053611_AANSAG_c013_rview_f000180.jpg,2084.6,553.6,2182.2,704.5,0
20260616_053611_AANSAG_c013_rview_f000660.jpg,2056.1,467.2,2125.9,746.8,1
20260616_053611_AANSAG_c013_rview_f000660.jpg,2096.3,568.0,2203.5,736.0,0
20260616_053611_AANSAG_c013_rview_f000690.jpg,2079.4,597.0,2171.8,749.8,0
20260616_053611_AANSAG_c013_rview_f000690.jpg,2080.6,551.8,2100.6,747.4,1
20260616_053611_AANSAG_c013_rview_f000720.jpg,2024.9,465.4,2080.9,663.7,1
20260616_053611_AANSAG_c013_rview_f000750.jpg,1914.0,547.2,2012.2,727.3,0
20260616_053611_AANSAG_c013_rview_f000780.jpg,2061.6,611.3,2111.1,839.1,1
20260616_053611_AANSAG_c013_rview_f000810.jpg,2097.2,687.5,2224.7,880.6,0
20260616_053611_AANSAG_c013_rview_f000810.jpg,2098.6,623.2,2113.0,880.9,1
20260616_053611_AANSAG_c013_rview_f000840.jpg,2079.6,701.9,2197.3,881.4,0
20260616_053611_AANSAG_c013_rview_f000840.jpg,2081.4,659.4,2117.8,882.0,1
20260616_053611_AANSAG_c013_rview_f000870.jpg,2045.9,677.4,2119.9,876.9,1
20260616_053611_AANSAG_c013_rview_f000900.jpg,2049.2,668.7,2118.9,872.3,1
20260616_053611_AANSAG_c013_rview_f001920.jpg,2080.0,1004.0,2086.4,1200.2,1
20260616_053611_AANSAG_c013_rview_f001920.jpg,2080.1,1003.6,2184.3,1161.6,0
20260616_053611_AANSAG_c013_rview_f001950.jpg,2075.0,988.3,2191.6,1145.3,0
20260616_053611_AANSAG_c013_rview_f001950.jpg,2076.4,991.9,2090.3,1182.4,1
20260616_053611_AANSAG_c013_rview_f001980.jpg,2042.8,1031.9,2117.1,1242.8,1
20260616_053611_AANSAG_c013_rview_f002010.jpg,2074.9,969.6,2191.8,1160.5,0
20260616_053611_AANSAG_c013_rview_f002010.jpg,2075.4,970.1,2085.8,1201.6,1
20260616_053611_AANSAG_c013_rview_f002040.jpg,2049.7,983.8,2167.7,1175.0,0
20260616_053611_AANSAG_c013_rview_f002040.jpg,2051.8,983.3,2082.8,1212.8,1
20260616_053611_AANSAG_c013_rview_f002070.jpg,2064.9,978.6,2176.1,1158.0,0
20260616_053611_AANSAG_c013_rview_f002070.jpg,2068.2,978.7,2088.2,1190.9,1
20260616_053611_AANSAG_c013_rview_f002100.jpg,2108.6,812.6,2129.0,1052.9,1
20260616_053611_AANSAG_c013_rview_f003150.jpg,1856.3,633.9,1962.0,802.3,0
20260616_053611_AANSAG_c013_rview_f003180.jpg,1684.1,558.0,1791.2,719.0,0
20260616_053611_AANSAG_c013_rview_f003210.jpg,2005.1,761.9,2107.4,920.1,0
20260616_053611_AANSAG_c013_rview_f003420.jpg,1772.2,572.1,1884.5,752.7,0
20260616_053611_AANSAG_c013_rview_f003450.jpg,1758.9,631.2,1866.7,803.2,0
20260616_053611_AANSAG_c013_rview_f003510.jpg,1979.8,671.8,2088.9,847.3,0
20260616_053611_AANSAG_c013_rview_f006000.jpg,2161.8,923.2,2257.9,1088.3,0
20260616_053611_AANSAG_c013_rview_f009480.jpg,2102.9,753.7,2209.9,935.9,0
20260616_053611_AANSAG_c013_rview_f009480.jpg,2103.0,707.9,2123.0,935.8,1
20260616_053611_AANSAG_c013_rview_f010020.jpg,2109.1,668.2,2129.0,919.8,1
20260616_053611_AANSAG_c013_rview_f010020.jpg,2116.9,731.7,2229.7,919.7,0
20260616_060031_VKJSJC_c020_lview_f000960.jpg,164.6,554.5,267.0,709.2,0
20260616_060031_VKJSJC_c020_lview_f000960.jpg,243.2,514.0,266.8,708.9,1
20260616_060031_VKJSJC_c020_lview_f000990.jpg,251.3,510.8,286.1,587.7,0
20260616_060031_VKJSJC_c020_lview_f000990.jpg,773.3,393.4,869.3,516.4,0
