session,role
20260616_053528_BYEJKD,train
20260616_053611_AANSAG,train
20260616_060031_VKJSJC,train
20260616_060320_GYKZXU,train
20260621_194844_BTJPSP,train
20260623_054943_KAMYUT,train
20260628_053521_ZNSDHD,train
20260704_002023_RKWCSZ,train
20260705_063651_FZTJPK,train
20260707_053606_PWYWFX,train
20260709_053256_QSJMDU,train
20260709_084335_TYCPQN,train
20260710_062959_GPSRFB,train
20260710_081124_BFPKMU,train
20260714_054105_YWEEDD,train
20260714_070036_KXNFLT,train
20260715_003829_QUGZXQ,train
20260715_050301_RLHFBH,train
20260721_055856_QVDFYG,train
20260722_055234_LZJGJP,train
20260723_073355_UCGZEA,train
20260724_024551_YQCCLB,train
20260724_025912_LYCKFT,train
20260724_053432_RSWJAK,train
20260725_055005_MPCWWA,train
