image,x1,y1,x2,y2,ignore
0_Parade_Parade_0_1014.jpg,122.0,380.0,132.0,392.0,0
0_Parade_Parade_0_1014.jpg,246.0,378.0,258.0,392.0,0
0_Parade_Parade_0_1019.jpg,289.0,233.0,303.0,251.0,0
0_Parade_Parade_0_1019.jpg,309.0,216.0,345.0,257.0,0
0_Parade_Parade_0_1019.jpg,343.0,211.0,381.0,262.0,0
0_Parade_Parade_0_1019.jpg,366.0,204.0,411.0,259.0,0
0_Parade_Parade_0_1019.jpg,413.0,200.0,465.0,257.0,0
0_Parade_Parade_0_1019.jpg,457.0,189.0,510.0,251.0,0
0_Parade_Parade_0_1019.jpg,523.0,164.0,588.0,245.0,0
0_Parade_Parade_0_1019.jpg,598.0,207.0,637.0,257.0,0
0_Parade_Parade_0_1019.jpg,626.0,147.0,698.0,233.0,0
0_Parade_Parade_0_1019.jpg,704.0,110.0,793.0,218.0,0
0_Parade_Parade_0_1019.jpg,849.0,189.0,901.0,256.0,0
0_Parade_Parade_0_1019.jpg,947.0,241.0,987.0,289.0,0
0_Parade_Parade_0_1019.jpg,971.0,186.0,1024.0,267.0,0
0_Parade_Parade_0_1040.jpg,494.0,251.0,569.0,361.0,0
0_Parade_Parade_0_1041.jpg,109.0,258.0,139.0,291.0,0
0_Parade_Parade_0_1041.jpg,170.0,252.0,201.0,288.0,0
0_Parade_Parade_0_1041.jpg,292.0,63.0,328.0,100.0,0
0_Parade_Parade_0_1041.jpg,331.0,246.0,374.0,291.0,0
0_Parade_Parade_0_1041.jpg,478.0,102.0,502.0,128.0,0
0_Parade_Parade_0_1041.jpg,526.0,271.0,552.0,296.0,0
0_Parade_Parade_0_1041.jpg,587.0,184.0,600.0,203.0,0
0_Parade_Parade_0_1041.jpg,616.0,275.0,632.0,294.0,0
0_Parade_Parade_0_1041.jpg,642.0,208.0,654.0,223.0,0
0_Parade_Parade_0_1041.jpg,673.0,279.0,684.0,292.0,0
0_Parade_Parade_0_1041.jpg,720.0,216.0,732.0,231.0,0
0_Parade_Parade_0_1041.jpg,729.0,274.0,745.0,291.0,0
0_Parade_Parade_0_1041.jpg,788.0,219.0,798.0,229.0,0
0_Parade_Parade_0_1041.jpg,805.0,276.0,816.0,289.0,0
0_Parade_Parade_0_1041.jpg,809.0,228.0,817.0,237.0,0
0_Parade_Parade_0_1041.jpg,834.0,270.0,840.0,281.0,0
0_Parade_Parade_0_1041.jpg,979.0,284.0,988.0,294.0,0
0_Parade_Parade_0_1041.jpg,985.0,272.0,993.0,281.0,0
0_Parade_Parade_0_1042.jpg,15.0,253.0,20.0,259.0,0
0_Parade_Parade_0_1042.jpg,295.0,212.0,331.0,253.0,0
0_Parade_Parade_0_1042.jpg,483.0,216.0,524.0,266.0,0
0_Parade_Parade_0_1042.jpg,526.0,220.0,537.0,232.0,0
0_Parade_Parade_0_1042.jpg,540.0,213.0,552.0,227.0,0
0_Parade_Parade_0_1042.jpg,573.0,229.0,588.0,246.0,0
0_Parade_Parade_0_1042.jpg,593.0,215.0,605.0,231.0,0
0_Parade_Parade_0_1042.jpg,594.0,233.0,609.0,248.0,0
0_Parade_Parade_0_1042.jpg,626.0,194.0,661.0,242.0,0
0_Parade_Parade_0_1042.jpg,657.0,230.0,670.0,244.0,0
0_Parade_Parade_0_1042.jpg,672.0,239.0,682.0,254.0,0
0_Parade_Parade_0_1042.jpg,692.0,225.0,703.0,238.0,0
0_Parade_Parade_0_1042.jpg,697.0,200.0,709.0,213.0,0
0_Parade_Parade_0_1042.jpg,726.0,238.0,737.0,256.0,0
0_Parade_Parade_0_1042.jpg,735.0,239.0,750.0,257.0,0
0_Parade_Parade_0_1042.jpg,762.0,237.0,776.0,255.0,0
0_Parade_Parade_0_1042.jpg,784.0,241.0,796.0,259.0,0
0_Parade_Parade_0_1042.jpg,787.0,222.0,798.0,236.0,0
0_Parade_Parade_0_1042.jpg,843.0,230.0,853.0,246.0,0
0_Parade_Parade_0_1042.jpg,848.0,240.0,864.0,261.0,0
0_Parade_Parade_0_1042.jpg,849.0,225.0,864.0,243.0,0
0_Parade_Parade_0_1042.jpg,897.0,246.0,911.0,265.0,0
0_Parade_Parade_0_1042.jpg,939.0,244.0,958.0,267.0,0
0_Parade_Parade_0_1042.jpg,944.0,313.0,955.0,327.0,0
0_Parade_Parade_0_1042.jpg,951.0,223.0,970.0,248.0,0
0_Parade_Parade_0_1042.jpg,1007.0,220.0,1020.0,236.0,0
0_Parade_Parade_0_106.jpg,1.0,359.0,13.0,388.0,0
0_Parade_Parade_0_106.jpg,9.0,260.0,27.0,283.0,0
0_Parade_Parade_0_106.jpg,56.0,315.0,82.0,347.0,0
0_Parade_Parade_0_106.jpg,61.0,248.0,85.0,277.0,0
0_Parade_Parade_0_106.jpg,90.0,258.0,102.0,276.0,0
0_Parade_Parade_0_106.jpg,91.0,318.0,113.0,347.0,0
0_Parade_Parade_0_106.jpg,100.0,269.0,117.0,291.0,0
0_Parade_Parade_0_106.jpg,120.0,283.0,147.0,317.0,0
0_Parade_Parade_0_106.jpg,126.0,259.0,146.0,282.0,0
0_Parade_Parade_0_106.jpg,139.0,314.0,168.0,344.0,0
0_Parade_Parade_0_106.jpg,160.0,236.0,182.0,265.0,0
0_Parade_Parade_0_106.jpg,179.0,239.0,196.0,264.0,0
0_Parade_Parade_0_106.jpg,192.0,290.0,217.0,324.0,0
0_Parade_Parade_0_106.jpg,194.0,230.0,217.0,262.0,0
0_Parade_Parade_0_106.jpg,231.0,234.0,252.0,263.0,0
0_Parade_Parade_0_106.jpg,231.0,303.0,260.0,341.0,0
0_Parade_Parade_0_106.jpg,303.0,247.0,320.0,269.0,0
0_Parade_Parade_0_106.jpg,306.0,236.0,334.0,266.0,0
0_Parade_Parade_0_106.jpg,341.0,285.0,371.0,324.0,0
0_Parade_Parade_0_106.jpg,377.0,330.0,397.0,360.0,0
0_Parade_Parade_0_106.jpg,415.0,210.0,445.0,251.0,0
0_Parade_Parade_0_106.jpg,471.0,202.0,499.0,238.0,0
0_Parade_Parade_0_106.jpg,498.0,231.0,524.0,268.0,0
0_Parade_Parade_0_106.jpg,509.0,271.0,537.0,308.0,0
0_Parade_Parade_0_106.jpg,521.0,230.0,544.0,255.0,0
0_Parade_Parade_0_106.jpg,537.0,268.0,563.0,311.0,0
0_Parade_Parade_0_106.jpg,548.0,228.0,563.0,250.0,0
0_Parade_Parade_0_106.jpg,659.0,307.0,673.0,325.0,0
0_Parade_Parade_0_106.jpg,679.0,260.0,716.0,307.0,0
0_Parade_Parade_0_106.jpg,717.0,361.0,753.0,403.0,0
0_Parade_Parade_0_106.jpg,728.0,215.0,766.0,257.0,0
0_Parade_Parade_0_106.jpg,764.0,229.0,786.0,260.0,0
0_Parade_Parade_0_106.jpg,783.0,202.0,811.0,237.0,0
0_Parade_Parade_0_106.jpg,820.0,376.0,855.0,420.0,0
0_Parade_Parade_0_106.jpg,823.0,250.0,848.0,278.0,0
0_Parade_Parade_0_106.jpg,844.0,200.0,877.0,251.0,0
0_Parade_Parade_0_106.jpg,905.0,342.0,937.0,386.0,0
0_Parade_Parade_0_106.jpg,911.0,155.0,952.0,208.0,0
