image,session,chunk,eye,frame_idx,size,md5,scene,width,height,src_path
0_Parade_Parade_0_1014.jpg,0--Parade,,,,132089,b02bd2d73ff3af6c90221a828e6c4b6a,0--Parade,1024,732,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_1014.jpg
0_Parade_Parade_0_1019.jpg,0--Parade,,,,124120,022bb9468309808ae9ba5923465eafa4,0--Parade,1024,680,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_1019.jpg
0_Parade_Parade_0_1040.jpg,0--Parade,,,,152360,351da1dcffc4ac590bde2860318a46d6,0--Parade,1024,1285,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_1040.jpg
0_Parade_Parade_0_1041.jpg,0--Parade,,,,111478,2e259628fa18bc5adc3edc35e671b87e,0--Parade,1024,738,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_1041.jpg
0_Parade_Parade_0_1042.jpg,0--Parade,,,,159136,fb9b5741cbc7ce6d06f84319227a9830,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_1042.jpg
0_Parade_Parade_0_106.jpg,0--Parade,,,,140885,c5a7fa6aa87bf40d77b5d638992ed4a7,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_106.jpg
0_Parade_Parade_0_109.jpg,0--Parade,,,,161737,2db3d866e2fde96d3325057e145cf079,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_109.jpg
0_Parade_Parade_0_11.jpg,0--Parade,,,,123727,5ee9de330717eab19fe4eb5345cfc2a2,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_11.jpg
0_Parade_Parade_0_110.jpg,0--Parade,,,,162872,b7f620306eac93e41568b44c3afbeb6b,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_110.jpg
0_Parade_Parade_0_123.jpg,0--Parade,,,,128624,c445a2411ddf1c834f9ee4deffe2eb9d,0--Parade,1024,576,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_123.jpg
0_Parade_Parade_0_126.jpg,0--Parade,,,,103297,161da1e098150c764fc96163abcbce81,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_126.jpg
0_Parade_Parade_0_127.jpg,0--Parade,,,,166178,6fdb429f6944ac5c8f1628218c26b210,0--Parade,1024,569,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_127.jpg
0_Parade_Parade_0_129.jpg,0--Parade,,,,140424,4e441dc545c17a589cefcaf79206d72b,0--Parade,1024,681,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_129.jpg
0_Parade_Parade_0_132.jpg,0--Parade,,,,166713,d3e4431e54c2c7196cc194c4079f6d8c,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_132.jpg
0_Parade_Parade_0_136.jpg,0--Parade,,,,160300,76604816837adfcb43907b137a803216,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_136.jpg
0_Parade_Parade_0_138.jpg,0--Parade,,,,143134,009cd91ee88f0fc3ba686ae4ce40f235,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_138.jpg
0_Parade_Parade_0_140.jpg,0--Parade,,,,141063,5670cc9621a8243bf702a2b3c195a8cc,0--Parade,1024,605,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_140.jpg
0_Parade_Parade_0_142.jpg,0--Parade,,,,155499,1c0ce40599aaff33aef96cdcb497446e,0--Parade,1024,682,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_142.jpg
0_Parade_Parade_0_145.jpg,0--Parade,,,,141674,ac70f2b30050724e53c511b9a918f6f1,0--Parade,1024,682,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_145.jpg
0_Parade_Parade_0_148.jpg,0--Parade,,,,135846,6c363fac5d90f2df10c086f4b4fa94f7,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_148.jpg
0_Parade_Parade_0_15.jpg,0--Parade,,,,102884,af06586e028a52649e1ecd8d71c0bb20,0--Parade,1024,684,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_15.jpg
0_Parade_Parade_0_152.jpg,0--Parade,,,,112127,f48deb28c8731a0772ee0073263c6a03,0--Parade,1024,468,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_152.jpg
0_Parade_Parade_0_156.jpg,0--Parade,,,,116415,725f7586771aec2fe0f9275ddadf4076,0--Parade,1024,620,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_156.jpg
0_Parade_Parade_0_162.jpg,0--Parade,,,,116985,420b6b1b1a6348fa945d44eda8a6a0e8,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_162.jpg
0_Parade_Parade_0_167.jpg,0--Parade,,,,178224,374688dacdf0ca0edb22250611bee047,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_167.jpg
0_Parade_Parade_0_17.jpg,0--Parade,,,,140599,b5e258bcf538458a985885225774dea4,0--Parade,1024,678,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_17.jpg
0_Parade_Parade_0_171.jpg,0--Parade,,,,152647,8b2705eaad62947e23934b8583e6a208,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_171.jpg
0_Parade_Parade_0_176.jpg,0--Parade,,,,139520,35ffe873fb57af5124e14edc6482a9c2,0--Parade,1024,695,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_176.jpg
0_Parade_Parade_0_178.jpg,0--Parade,,,,104627,636126aa49552012b52c90f88a32a333,0--Parade,1024,668,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_178.jpg
0_Parade_Parade_0_179.jpg,0--Parade,,,,157618,1f9f2878f511c179cbcd076428dc964f,0--Parade,1024,723,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_179.jpg
0_Parade_Parade_0_180.jpg,0--Parade,,,,133385,56ef8e785a4c255756ceb99a6e640f70,0--Parade,1024,679,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_180.jpg
0_Parade_Parade_0_181.jpg,0--Parade,,,,80803,96ec8335ac7dfc314d94c729be631558,0--Parade,1024,686,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_181.jpg
0_Parade_Parade_0_183.jpg,0--Parade,,,,129085,7b41389ea5518fd9778afc3cb0966e47,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_183.jpg
0_Parade_Parade_0_184.jpg,0--Parade,,,,138489,558e2a0bcefbf00e2bc699701ebd8969,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_184.jpg
0_Parade_Parade_0_185.jpg,0--Parade,,,,148271,4ad829174435601a05c436da50bd500c,0--Parade,1024,639,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_185.jpg
0_Parade_Parade_0_188.jpg,0--Parade,,,,160672,6ea4706445ab917c01f9bdedc4ca284a,0--Parade,1024,642,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_188.jpg
0_Parade_Parade_0_191.jpg,0--Parade,,,,126344,de1cd4edb68948f700c16dbc2a0fc4b9,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_191.jpg
0_Parade_Parade_0_192.jpg,0--Parade,,,,154933,5ec3e08ca67bf4f3e83a5c84cb1448b3,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_192.jpg
0_Parade_Parade_0_193.jpg,0--Parade,,,,178067,08c0d550ab15138ceea9aa409e92f2f3,0--Parade,1024,690,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_193.jpg
0_Parade_Parade_0_195.jpg,0--Parade,,,,187053,3de699f6bc2022db6131932d7f9b32ab,0--Parade,1024,799,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_195.jpg
0_Parade_Parade_0_202.jpg,0--Parade,,,,167912,a72df54c7369cbacfb2ff1064224a581,0--Parade,1024,684,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_202.jpg
0_Parade_Parade_0_204.jpg,0--Parade,,,,133204,8b8fd999d5af635f11f27bff73fd7869,0--Parade,1024,704,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_204.jpg
0_Parade_Parade_0_207.jpg,0--Parade,,,,120164,a6f13cd27a352099d0fbfc8beaaf6639,0--Parade,1024,703,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_207.jpg
0_Parade_Parade_0_209.jpg,0--Parade,,,,151942,f3a9015f52ed67af36cda3b21e495f21,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_209.jpg
0_Parade_Parade_0_21.jpg,0--Parade,,,,115572,3b7d6247cf837411679b1ef4fcaa4cd5,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_21.jpg
0_Parade_Parade_0_212.jpg,0--Parade,,,,119836,83e8780891e2a59bfd1027408e632b40,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_212.jpg
0_Parade_Parade_0_213.jpg,0--Parade,,,,156067,5f54e4669848b18790f4b523965f3e35,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_213.jpg
0_Parade_Parade_0_219.jpg,0--Parade,,,,146088,9d15d7666acfb7a366b35c4de9a58da8,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_219.jpg
0_Parade_Parade_0_220.jpg,0--Parade,,,,129976,92f7abbed09945712a63fca91b640980,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_220.jpg
0_Parade_Parade_0_222.jpg,0--Parade,,,,109184,894283d9e71dd2b63a57fe72d3387c5e,0--Parade,1024,684,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_222.jpg
0_Parade_Parade_0_226.jpg,0--Parade,,,,134300,3ca27db947ac5947789429d3643e4b9a,0--Parade,1024,684,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_226.jpg
0_Parade_Parade_0_228.jpg,0--Parade,,,,122482,79be54fdcc1e8953ab9d98b503510b72,0--Parade,1024,686,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_228.jpg
0_Parade_Parade_0_233.jpg,0--Parade,,,,133596,47cfeb247d45cbd68f01d1681fccbeed,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_233.jpg
0_Parade_Parade_0_234.jpg,0--Parade,,,,141999,0cc5c57b426d150cba02973d6cc00279,0--Parade,1024,682,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_234.jpg
0_Parade_Parade_0_237.jpg,0--Parade,,,,114051,3196a31f5a668edf98ebd02632204227,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_237.jpg
0_Parade_Parade_0_238.jpg,0--Parade,,,,136736,e4c719416d22deae2934b358184a847d,0--Parade,1024,683,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_238.jpg
0_Parade_Parade_0_24.jpg,0--Parade,,,,131731,c07703142f955973cb2eb622e81352df,0--Parade,1024,682,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_24.jpg
0_Parade_Parade_0_242.jpg,0--Parade,,,,174529,5b1482705cb64d20a170f46a4c02aaf5,0--Parade,1024,1392,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_242.jpg
0_Parade_Parade_0_245.jpg,0--Parade,,,,158562,1d6539866483c44e0f53c33f6fbc5083,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_245.jpg
0_Parade_Parade_0_248.jpg,0--Parade,,,,161360,e9b491da03328fdc27f0200d951fa4cc,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_248.jpg
0_Parade_Parade_0_250.jpg,0--Parade,,,,157478,e850dd0cb4905e555b5dc6f8a3aade21,0--Parade,1024,768,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_250.jpg
0_Parade_Parade_0_253.jpg,0--Parade,,,,170292,2bd07741daeb1804572eb26da84d54a3,0--Parade,1024,847,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_253.jpg
0_Parade_Parade_0_254.jpg,0--Parade,,,,148595,de81eec694a6fa5bbabe68555bc58b0b,0--Parade,1024,702,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_254.jpg
0_Parade_Parade_0_26.jpg,0--Parade,,,,153180,62072b397316c8bdc830395224403ade,0--Parade,1024,682,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_26.jpg
0_Parade_Parade_0_260.jpg,0--Parade,,,,147848,35c4f0483e2478de3d3ed389be731f24,0--Parade,1024,681,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_260.jpg
0_Parade_Parade_0_27.jpg,0--Parade,,,,104773,31980f78c6bdb7bbd49e1996332bef75,0--Parade,1024,461,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_27.jpg
0_Parade_Parade_0_271.jpg,0--Parade,,,,151130,9265e599d4bdeddfac30703581a68c64,0--Parade,1024,1024,/data/esteban/pii/datasets/wider_face/WIDER_train/images/0--Parade/0_Parade_Parade_0_271.jpg
