session,role
0--Parade,train
1--Handshaking,train
10--People_Marching,train
11--Meeting,train
12--Group,train
13--Interview,train
14--Traffic,train
15--Stock_Market,train
16--Award_Ceremony,train
17--Ceremony,train
18--Concerts,train
19--Couple,train
2--Demonstration,train
20--Family_Group,train
21--Festival,train
22--Picnic,train
23--Shoppers,train
24--Soldier_Firing,train
25--Soldier_Patrol,train
26--Soldier_Drilling,train
27--Spa,train
28--Sports_Fan,train
29--Students_Schoolkids,train
3--Riot,train
30--Surgeons,train
31--Waiter_Waitress,train
32--Worker_Laborer,train
33--Running,train
34--Baseball,train
35--Basketball,train
36--Football,train
37--Soccer,train
38--Tennis,train
39--Ice_Skating,train
4--Dancing,train
40--Gymnastics,train
41--Swimming,train
42--Car_Racing,train
43--Row_Boat,train
44--Aerobics,train
45--Balloonist,train
46--Jockey,train
47--Matador_Bullfighter,train
48--Parachutist_Paratrooper,train
49--Greeting,train
5--Car_Accident,train
50--Celebration_Or_Party,train
51--Dresses,train
52--Photographers,train
53--Raid,train
54--Rescue,train
55--Sports_Coach_Trainer,train
56--Voter,train
57--Angler,train
58--Hockey,train
59--people--driving--car,train
6--Funeral,train
61--Street_Battle,train
7--Cheering,train
8--Election_Campain,train
9--Press_Conference,train
