session,dataset,role,n_images
20260415_060144_KSXGVV,face10k_v3,train,1
20260424_031129_FHJUFZ,face10k_v3,train,1
20260425_064704_FXSDAS,face10k_v3,train,2
20260425_073805_AHNKJU,face10k_v3,train,6
20260507_080211_GWDXBK,face10k_v3,train,60
20260507_080524_WUCNXQ,face10k_v3,train,60
20260507_080533_VCDNSJ,face10k_v3,train,33
20260507_080801_RLWUYL,face10k_v3,train,54
20260507_081022_TLBLMT,face10k_v3,train,60
20260507_081145_SVVKZK,face10k_v3,train,48
20260507_081510_XVMJJJ,face10k_v3,train,46
20260507_081713_ZASMZN,face10k_v3,train,20
20260507_082555_RZEQJF,face10k_v3,train,60
20260507_082732_QLYMCZ,face10k_v3,train,60
20260507_082851_UKDMGD,face10k_v3,train,60
20260507_092826_TSMLMX,face10k_v3,train,8
20260507_093624_FYNTDA,face10k_v3,train,22
20260507_093716_NMGFKF,face10k_v3,train,37
20260508_012833_ADPLHN,face10k_v3,train,60
20260508_013850_UQUCAQ,face10k_v3,train,34
20260508_014028_XDPFZR,face10k_v3,train,60
20260508_020413_CWHKYZ,face10k_v3,train,43
20260508_021048_HZDCHM,face10k_v3,train,55
20260508_025506_BVDHBA,face10k_v3,train,60
20260508_062146_PJBTTV,face10k_v3,train,45
20260508_062451_RERREC,face10k_v3,train,60
20260508_062454_FTMFGM,face10k_v3,train,60
20260508_062904_FAQMRC,face10k_v3,train,60
20260508_063647_LZJNDX,face10k_v3,train,54
20260509_004520_JAYAQZ,face10k_v3,train,29
20260509_015004_VNGBGU,face10k_v3,train,1
20260509_051710_PSSUDR,face10k_v3,train,39
20260510_010949_NEZAVQ,face10k_v3,train,56
20260511_051834_HWTPWD,face10k_v3,train,6
20260511_052000_DCTXSW,face10k_v3,train,3
20260511_054551_UFUJGC,face10k_v3,train,53
20260512_011951_HSGQJJ,face10k_v3,train,2
20260512_013546_RZYZJZ,face10k_v3,train,60
20260512_013906_NUUUEJ,face10k_v3,train,1
20260512_052849_HNFCYW,face10k_v3,train,5
20260513_051736_QZQFKZ,face10k_v3,train,60
20260513_051840_HJBNTS,face10k_v3,train,32
20260513_051936_CSAAVY,face10k_v3,train,34
20260514_052649_GGEKUU,face10k_v3,train,60
20260514_052857_MXCCFM,face10k_v3,train,52
20260514_053507_NSFMWZ,face10k_v3,train,60
20260514_053558_LNRKUB,face10k_v3,train,12
20260514_053646_AUQXNH,face10k_v3,train,42
20260514_053748_YNUJDQ,face10k_v3,train,13
20260514_061214_BJNNJZ,face10k_v3,train,27
20260514_061701_VKWSAE,face10k_v3,train,47
20260514_065616_JDHPES,face10k_v3,train,46
20260514_072241_FVJPQP,face10k_v3,train,10
20260514_080116_ZDTYKY,face10k_v3,train,60
20260514_080204_DRTYMC,face10k_v3,train,60
20260514_080258_AXALGZ,face10k_v3,train,18
20260514_080307_CNPASG,face10k_v3,train,3
20260514_080347_ZCHERS,face10k_v3,train,14
20260514_080612_SFNAQN,face10k_v3,train,1
20260514_081128_CACZRF,face10k_v3,train,28
20260514_081523_XQXBXZ,face10k_v3,train,22
20260515_003115_JYAPYJ,face10k_v3,train,60
20260515_003745_UXBMDH,face10k_v3,train,60
20260515_003928_YNVBUW,face10k_v3,train,60
20260515_004344_GTCVXW,face10k_v3,train,23
20260515_004529_QWLTEA,face10k_v3,train,17
20260515_010244_MVXBFY,face10k_v3,train,23
20260515_010850_VBUZRP,face10k_v3,train,46
20260515_024614_HHFEYB,face10k_v3,train,52
20260515_031641_ZLEKWA,face10k_v3,train,10
20260515_053559_GELWEZ,face10k_v3,train,41
20260515_110408_DQDHUM,face10k_v3,train,1
20260516_002412_TTXLXB,face10k_v3,train,59
20260516_051447_UUFXQY,face10k_v3,train,60
20260516_062532_BWCULD,face10k_v3,train,2
20260516_072229_CFUZLF,face10k_v3,train,8
20260516_080659_WUKMTC,face10k_v3,train,55
20260517_005607_NGYTXB,face10k_v3,train,46
20260518_003119_LTYVTH,face10k_v3,train,2
20260518_004242_LGYPJU,face10k_v3,train,1
20260518_025952_KXSSHU,face10k_v3,train,1
20260518_043426_WBNAVC,face10k_v3,train,1
20260519_021138_BRKDVQ,face10k_v3,train,10
20260519_043221_LJNURC,face10k_v3,train,8
20260519_065119_HEDMDV,face10k_v3,train,4
20260519_082829_ERYWNB,face10k_v3,train,2
20260519_084222_AELSYM,face10k_v3,train,1
20260519_091808_RTJUVF,face10k_v3,train,1
20260520_003850_NVJVFE,face10k_v3,train,60
20260520_004044_XPNAJM,face10k_v3,train,33
20260520_042048_VGEXLL,face10k_v3,train,2
20260520_052340_RGFYXW,face10k_v3,train,1
20260520_052804_GXABTN,face10k_v3,train,9
20260520_053341_YYCHTA,face10k_v3,train,3
20260520_055311_KZXHPY,face10k_v3,train,4
20260520_062354_UKCMZU,face10k_v3,train,1
20260520_064407_BDBMHJ,face10k_v3,train,19
20260520_082056_SNFKBP,face10k_v3,train,54
20260520_090555_PFZKCC,face10k_v3,train,1
20260520_140623_CRLMNT,face10k_v3,train,3
20260521_042627_SDGQAH,face10k_v3,train,1
20260521_062021_QLEDXJ,face10k_v3,train,1
20260521_090951_YNJESG,face10k_v3,train,1
20260521_150905_USRLBE,face10k_v3,train,2
